[GA] start pop=400 gen=300 mut=0.15 customers=10 trucks=2 drones=2
[GA] gen=-1 feasible=400/400 bestFitness=182 bestCmax=182 bestPenalty=0 avgFitness=229.542
[GA] gen=0 feasible=332/400 bestFitness=182 bestCmax=182 bestPenalty=0 avgFitness=11088.4 children=399 twoPoint=197 mutCustomer=65 mutDrone=100 globalBestCmax=182 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=11 feasible=157/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=29061.3 children=399 twoPoint=187 mutCustomer=64 mutDrone=102 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=12 feasible=168/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=29434.3 children=399 twoPoint=205 mutCustomer=60 mutDrone=106 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=13 feasible=181/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=29856.9 children=399 twoPoint=180 mutCustomer=61 mutDrone=97 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=14 feasible=182/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=32503.5 children=399 twoPoint=213 mutCustomer=68 mutDrone=88 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=15 feasible=207/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=29076.1 children=399 twoPoint=208 mutCustomer=61 mutDrone=92 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=16 feasible=231/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=26395.1 children=399 twoPoint=183 mutCustomer=57 mutDrone=90 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=17 feasible=291/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=16591.1 children=399 twoPoint=201 mutCustomer=57 mutDrone=96 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=18 feasible=306/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=16562.3 children=399 twoPoint=197 mutCustomer=74 mutDrone=91 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=19 feasible=326/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=11987.3 children=399 twoPoint=201 mutCustomer=50 mutDrone=93 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=20 feasible=312/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=15411.6 children=399 twoPoint=183 mutCustomer=79 mutDrone=109 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=21 feasible=310/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=14686.1 children=399 twoPoint=209 mutCustomer=58 mutDrone=95 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=22 feasible=336/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=10885.9 children=399 twoPoint=202 mutCustomer=43 mutDrone=87 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=23 feasible=324/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=12236.9 children=399 twoPoint=210 mutCustomer=60 mutDrone=100 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=24 feasible=319/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=13337.2 children=399 twoPoint=190 mutCustomer=53 mutDrone=108 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=25 feasible=310/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=15311.6 children=399 twoPoint=200 mutCustomer=65 mutDrone=106 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=26 feasible=304/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=15412.7 children=399 twoPoint=192 mutCustomer=75 mutDrone=106 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=27 feasible=286/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=18936.5 children=399 twoPoint=198 mutCustomer=56 mutDrone=84 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=28 feasible=296/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=16886.8 children=399 twoPoint=210 mutCustomer=62 mutDrone=95 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=29 feasible=284/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=19061.3 children=399 twoPoint=199 mutCustomer=61 mutDrone=105 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=30 feasible=271/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=21461 children=399 twoPoint=196 mutCustomer=52 mutDrone=95 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=31 feasible=257/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=23337.5 children=399 twoPoint=203 mutCustomer=62 mutDrone=93 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=32 feasible=262/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=22412.1 children=399 twoPoint=209 mutCustomer=49 mutDrone=84 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=33 feasible=274/400 bestFitness=156 bestCmax=156 bestPenalty=0 avgFitness=20486 children=399 twoPoint=214 mutCustomer=62 mutDrone=92 globalBestCmax=156 globalBestPenalty=0 globalBestFeasible=1
[GA-TS] Stagnation reached at gen=34 (30 gens stagnant). Running TS on 40 elite individuals...
[GA-TS] TS complete. New global best Cmax=141 Penalty=0 Feasible=1
[GA] gen=34 feasible=325/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=12559.9 children=399 twoPoint=181 mutCustomer=59 mutDrone=87 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=35 feasible=295/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=15010.6 children=399 twoPoint=223 mutCustomer=63 mutDrone=90 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=36 feasible=306/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=13602.8 children=399 twoPoint=201 mutCustomer=70 mutDrone=105 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=37 feasible=361/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7344.51 children=399 twoPoint=202 mutCustomer=57 mutDrone=87 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=38 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8143.84 children=399 twoPoint=196 mutCustomer=59 mutDrone=96 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=39 feasible=354/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7546.44 children=399 twoPoint=189 mutCustomer=68 mutDrone=102 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=40 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9420.01 children=399 twoPoint=198 mutCustomer=61 mutDrone=96 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=41 feasible=356/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8768.89 children=399 twoPoint=194 mutCustomer=57 mutDrone=95 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=42 feasible=361/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7344.49 children=399 twoPoint=190 mutCustomer=59 mutDrone=92 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=43 feasible=362/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7444.47 children=399 twoPoint=183 mutCustomer=59 mutDrone=96 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=44 feasible=353/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8519.16 children=399 twoPoint=207 mutCustomer=54 mutDrone=101 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=45 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8893.5 children=399 twoPoint=188 mutCustomer=63 mutDrone=97 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=46 feasible=347/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10994.7 children=399 twoPoint=207 mutCustomer=66 mutDrone=94 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=47 feasible=344/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10446.1 children=399 twoPoint=189 mutCustomer=74 mutDrone=93 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=48 feasible=367/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6543.73 children=399 twoPoint=193 mutCustomer=51 mutDrone=87 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=49 feasible=368/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6046.13 children=399 twoPoint=215 mutCustomer=56 mutDrone=106 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=50 feasible=361/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8243.76 children=399 twoPoint=192 mutCustomer=58 mutDrone=82 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=51 feasible=365/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6568.42 children=399 twoPoint=182 mutCustomer=45 mutDrone=90 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=52 feasible=361/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7868.63 children=399 twoPoint=198 mutCustomer=58 mutDrone=76 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=53 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6995.6 children=399 twoPoint=193 mutCustomer=58 mutDrone=94 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=54 feasible=355/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9069.33 children=399 twoPoint=200 mutCustomer=62 mutDrone=94 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=55 feasible=363/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7543.55 children=399 twoPoint=193 mutCustomer=54 mutDrone=109 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=56 feasible=357/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7945.69 children=399 twoPoint=198 mutCustomer=66 mutDrone=118 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=57 feasible=361/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7418.64 children=399 twoPoint=185 mutCustomer=50 mutDrone=104 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=58 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8394.58 children=399 twoPoint=208 mutCustomer=59 mutDrone=89 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=59 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9695.73 children=399 twoPoint=195 mutCustomer=72 mutDrone=105 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=60 feasible=346/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=11244.7 children=399 twoPoint=214 mutCustomer=78 mutDrone=110 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=61 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8169.98 children=399 twoPoint=203 mutCustomer=62 mutDrone=86 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=62 feasible=344/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10269.8 children=399 twoPoint=201 mutCustomer=67 mutDrone=106 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=63 feasible=356/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8493.55 children=399 twoPoint=187 mutCustomer=53 mutDrone=91 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA-TS] Stagnation reached at gen=64 (30 gens stagnant). Running TS on 40 elite individuals...
[GA-TS] TS complete. New global best Cmax=141 Penalty=0 Feasible=1
[GA] gen=64 feasible=349/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10044.8 children=399 twoPoint=217 mutCustomer=74 mutDrone=97 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=65 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10394.1 children=399 twoPoint=200 mutCustomer=63 mutDrone=89 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=66 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7895.98 children=399 twoPoint=189 mutCustomer=62 mutDrone=98 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=67 feasible=357/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7944.69 children=399 twoPoint=201 mutCustomer=59 mutDrone=110 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=68 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7094.48 children=399 twoPoint=193 mutCustomer=56 mutDrone=90 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=69 feasible=346/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10768.4 children=399 twoPoint=197 mutCustomer=56 mutDrone=91 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=70 feasible=363/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7169.93 children=399 twoPoint=199 mutCustomer=55 mutDrone=89 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=71 feasible=361/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7918.73 children=399 twoPoint=197 mutCustomer=47 mutDrone=96 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=72 feasible=353/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9669.45 children=399 twoPoint=190 mutCustomer=62 mutDrone=98 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=73 feasible=350/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9718.75 children=399 twoPoint=203 mutCustomer=60 mutDrone=105 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=74 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10593.9 children=399 twoPoint=210 mutCustomer=67 mutDrone=94 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=75 feasible=354/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8319.7 children=399 twoPoint=203 mutCustomer=61 mutDrone=103 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=76 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7645.65 children=399 twoPoint=183 mutCustomer=68 mutDrone=100 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=77 feasible=367/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7069.03 children=399 twoPoint=205 mutCustomer=57 mutDrone=99 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=78 feasible=354/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8870.31 children=399 twoPoint=192 mutCustomer=62 mutDrone=125 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=79 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9195.99 children=399 twoPoint=205 mutCustomer=74 mutDrone=116 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=80 feasible=366/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7044.38 children=399 twoPoint=184 mutCustomer=56 mutDrone=82 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=81 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9520.08 children=399 twoPoint=214 mutCustomer=63 mutDrone=93 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=82 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7695.27 children=399 twoPoint=211 mutCustomer=60 mutDrone=97 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=83 feasible=364/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7443.85 children=399 twoPoint=206 mutCustomer=54 mutDrone=101 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=84 feasible=351/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10043.9 children=399 twoPoint=205 mutCustomer=59 mutDrone=95 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=85 feasible=349/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10668.8 children=399 twoPoint=190 mutCustomer=63 mutDrone=93 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=86 feasible=349/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8970.06 children=399 twoPoint=193 mutCustomer=67 mutDrone=106 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=87 feasible=353/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8869.77 children=399 twoPoint=208 mutCustomer=62 mutDrone=94 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=88 feasible=369/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6768.51 children=399 twoPoint=179 mutCustomer=51 mutDrone=86 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=89 feasible=347/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10044 children=399 twoPoint=173 mutCustomer=60 mutDrone=90 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=90 feasible=359/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7843.73 children=399 twoPoint=199 mutCustomer=50 mutDrone=102 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=91 feasible=353/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8145.67 children=399 twoPoint=202 mutCustomer=63 mutDrone=111 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=92 feasible=366/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6420.26 children=399 twoPoint=186 mutCustomer=57 mutDrone=99 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=93 feasible=349/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10194 children=399 twoPoint=198 mutCustomer=67 mutDrone=97 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA-TS] Stagnation reached at gen=94 (30 gens stagnant). Running TS on 40 elite individuals...
[GA-TS] TS complete. New global best Cmax=141 Penalty=0 Feasible=1
[GA] gen=94 feasible=350/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10119.2 children=399 twoPoint=217 mutCustomer=65 mutDrone=90 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=95 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8344.37 children=399 twoPoint=192 mutCustomer=56 mutDrone=86 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=96 feasible=355/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8170.98 children=399 twoPoint=201 mutCustomer=66 mutDrone=102 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=97 feasible=354/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8719.23 children=399 twoPoint=187 mutCustomer=59 mutDrone=101 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=98 feasible=345/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10395.2 children=399 twoPoint=182 mutCustomer=75 mutDrone=96 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=99 feasible=352/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8744.27 children=399 twoPoint=194 mutCustomer=57 mutDrone=110 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=100 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7669.73 children=399 twoPoint=200 mutCustomer=59 mutDrone=96 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=101 feasible=354/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8395.02 children=399 twoPoint=185 mutCustomer=59 mutDrone=108 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=102 feasible=366/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6143.12 children=399 twoPoint=208 mutCustomer=36 mutDrone=94 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=103 feasible=359/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7843.89 children=399 twoPoint=184 mutCustomer=58 mutDrone=104 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=104 feasible=363/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7569.58 children=399 twoPoint=197 mutCustomer=60 mutDrone=98 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=105 feasible=347/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10644.1 children=399 twoPoint=188 mutCustomer=66 mutDrone=103 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=106 feasible=350/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9494.82 children=399 twoPoint=193 mutCustomer=66 mutDrone=104 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=107 feasible=346/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=10392.4 children=399 twoPoint=212 mutCustomer=56 mutDrone=101 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=108 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7393.26 children=399 twoPoint=217 mutCustomer=47 mutDrone=107 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=109 feasible=367/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=6094.56 children=399 twoPoint=184 mutCustomer=45 mutDrone=103 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=110 feasible=357/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8369.06 children=399 twoPoint=204 mutCustomer=59 mutDrone=100 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=111 feasible=348/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=9720.09 children=399 twoPoint=194 mutCustomer=71 mutDrone=100 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=112 feasible=366/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=7018.32 children=399 twoPoint=194 mutCustomer=44 mutDrone=83 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=113 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8343.6 children=399 twoPoint=211 mutCustomer=56 mutDrone=89 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=114 feasible=358/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8569.76 children=399 twoPoint=215 mutCustomer=65 mutDrone=95 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=115 feasible=353/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8295.43 children=399 twoPoint=206 mutCustomer=62 mutDrone=100 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=116 feasible=360/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8018.75 children=399 twoPoint=204 mutCustomer=54 mutDrone=95 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=117 feasible=357/400 bestFitness=141 bestCmax=141 bestPenalty=0 avgFitness=8292.93 children=399 twoPoint=192 mutCustomer=51 mutDrone=92 globalBestCmax=141 globalBestPenalty=0 globalBestFeasible=1
